timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-09-08T00:00:00Z,27.93443496,32.09675621,25.33578639,29.54735884,2080639553.60,27.98652370,32.11250111,25.22505666,29.53678514,1459978592.81,1459978592,46161260,527017728,47481971
2021-09-07T00:00:00Z,32.38329606,32.38329606,22.98045905,27.94950397,1900757100.67,32.38668560,32.38668560,22.86842341,27.94715807,1497785652.86,1497785652,24931328,331087678,46952440
2021-09-06T00:00:00Z,34.48688700,35.34986314,30.93417020,32.36677319,1192830872.84,34.52994900,35.33216994,30.81682295,32.38232756,941072446.78,941072446,9466304,217182958,25109163
2021-09-05T00:00:00Z,31.44630025,35.58914592,31.44630025,34.52269748,1135980331.66,31.45885740,35.57255835,31.45885740,34.55436647,890517247.34,890517247,8642102,203376403,33444578
2021-09-04T00:00:00Z,31.76556191,32.51694445,31.03318262,31.43726404,607063836.26,31.79233298,32.54202815,31.04148263,31.46153725,486376891.87,486376891,4729605,100787627,15169711
2021-09-03T00:00:00Z,32.76294228,33.84127578,30.95575101,31.78701512,1129275596.63,32.85916049,33.87603221,30.93997913,31.78192364,815063890.52,815063890,9254884,284313783,20643038
2021-09-02T00:00:00Z,31.65134274,33.61761366,31.19739647,32.67399392,1106721260.33,31.80120568,33.82700216,31.36248678,32.84628147,819915205.19,819915205,7310732,253669559,25825762
2021-09-01T00:00:00Z,31.30819826,32.56769426,30.52838039,31.44413893,1165747372.07,31.60448855,32.80841591,30.79252006,31.81587186,849162318.28,849162318,6904747,277209494,32470811
2021-08-31T00:00:00Z,33.56962341,34.59163422,30.76762099,31.63548923,1408479773.21,33.49669944,34.54848751,30.67872786,31.60332143,1029901760.42,1029901760,22312075,330187668,26078268
2021-08-30T00:00:00Z,33.37401288,35.65399347,31.91493976,33.53767753,1786113556.87,33.37052773,35.77364572,31.95879497,33.51338134,1350351489.36,1350351489,9062139,387146184,39553744
2021-08-29T00:00:00Z,35.08001621,36.99654192,33.24344751,33.36471860,1584380838.91,35.11639988,36.95210506,33.24581114,33.36469634,1231927679.39,1231927679,7573703,315071344,29808111
2021-08-28T00:00:00Z,32.69164399,35.93890226,30.55789841,35.08894791,2203028824.60,32.71216512,35.95506816,30.54195751,35.11490729,1717849325.67,1717849325,30420106,399908262,54851129
2021-08-27T00:00:00Z,26.97005155,32.97180700,26.97005155,32.68540692,2221852532.47,26.97091814,32.94841655,26.82508622,32.69913680,1748809811.82,1748809811,39517448,390388144,43137127
2021-08-26T00:00:00Z,30.09682228,30.09682228,25.96614025,26.99206155,1435572418.44,30.11166148,30.11166148,25.91049687,26.99566073,1154885888.68,1154885888,19836074,229432411,31418043
2021-08-25T00:00:00Z,29.28138298,31.08206386,28.53682841,29.71599329,1326581868.24,29.67270327,31.44308030,28.76798127,30.12664572,1017266569.94,1017266569,11750387,260324980,37239929
2021-08-24T00:00:00Z,29.97881906,34.05156974,29.16949984,29.64978370,3098309039.04,30.00036716,34.27674361,29.28680796,29.65700322,2476362012.70,2476362012,12382478,543111774,66452773
2021-08-23T00:00:00Z,28.02673161,30.25770361,27.10764683,29.94469988,1293973073.40,28.05073354,30.29394008,27.12263154,29.97628593,985084077.18,985084077,7957057,275694253,25237685
2021-08-22T00:00:00Z,27.56306532,28.86477967,26.57566483,28.01638595,900580681.99,27.57637658,28.88526374,26.51817346,28.03272881,692542171.27,692542171,2807724,183067277,22163508
2021-08-21T00:00:00Z,30.65028169,30.65028169,27.02976134,27.54730529,1006640975.73,30.68072583,30.68072583,27.05917516,27.57528636,789207084.68,789207084,4202629,185470029,27761232
2021-08-20T00:00:00Z,29.40264120,31.95225976,28.79239404,30.64474179,1581824217.14,29.45818179,31.78947451,28.71144603,30.66248153,1217202894.97,1217202894,7736127,321927505,34957689
2021-08-19T00:00:00Z,30.77381643,34.55269906,29.00618946,29.45540843,2678364684.59,30.77540276,34.22811392,28.92761171,29.46186162,2089253017.36,2089253017,10108767,500594171,78408728
2021-08-18T00:00:00Z,25.35144565,31.76388838,22.70397225,30.76279689,3324513979.11,25.33935227,31.82410814,22.64798801,30.78467227,2579479900.02,2579479900,13006082,644171545,87856450
2021-08-17T00:00:00Z,21.94490605,26.71118327,20.70045211,25.33603234,2480231943.82,21.95175727,26.78578578,20.75145653,25.33224816,1933217243.21,1933217243,14348026,463766939,68899734
2021-08-16T00:00:00Z,19.29871784,23.83542970,18.99397006,21.93938736,1742835830.00,19.32173625,23.91286578,19.07719337,21.94934026,1321203549.44,1321203549,8955997,352980462,59695820
2021-08-15T00:00:00Z,17.41913848,19.71506799,16.74815984,19.30573090,493147435.29,17.42498536,19.71403206,16.70263857,19.31726742,369285678.34,369285678,2737791,98836642,22287322
2021-08-14T00:00:00Z,17.82765222,17.82765222,16.99887838,17.40437244,262109533.08,17.84572693,17.84572693,16.97561892,17.41507812,185932276.91,185932276,1377667,58603075,16196513
2021-08-13T00:00:00Z,16.64121012,17.97688003,16.64121012,17.81086401,335257633.09,16.64917117,17.94573861,16.64917117,17.82067482,244716167.41,244716167,1434393,71651812,17455260
2021-08-12T00:00:00Z,16.99193887,17.05647006,15.92769316,16.63653060,428454403.76,17.00011723,17.10716334,15.90674984,16.64349681,326866613.57,326866613,1668793,86631141,13287855
2021-08-11T00:00:00Z,16.78413514,17.93899016,16.49732952,16.98347993,607162026.89,16.80152241,18.01536791,16.50477455,16.98440021,471572421.45,471572421,2135818,114431986,19021800
2021-08-10T00:00:00Z,13.95221620,16.92528786,13.69595556,16.73363882,711752542.26,13.95554051,16.94759180,13.71667759,16.73924289,542755016.59,542755016,2567344,142981094,23449087
2021-08-09T00:00:00Z,13.43328769,14.44859611,13.31412329,13.96622742,386911268.52,13.43815309,14.43323872,13.20507434,13.97416636,288303432.03,288303432,1314473,84466392,12826970
2021-08-08T00:00:00Z,14.65657958,14.65657958,13.17733629,13.44233354,336048254.22,14.66514823,14.69486842,13.17091462,13.44642632,254577278.39,254577278,1383790,69389307,10697877
2021-08-07T00:00:00Z,14.53455418,15.88192416,14.16791031,14.65258872,474463138.97,14.53995493,15.83484973,14.09796299,14.66097611,363451149.12,363451149,2079679,92004100,16928209
2021-08-06T00:00:00Z,14.58159635,15.67519413,14.32035518,14.54237823,417821364.35,14.58902802,15.57479399,14.27593135,14.54879577,315533501.61,315533501,1176429,88055901,13055531
2021-08-05T00:00:00Z,14.53761835,15.35133204,14.01163474,14.58325523,575379525.63,14.54299654,15.28902101,13.93329437,14.58637060,466357841.93,466357841,1360774,92470204,15190705
2021-08-04T00:00:00Z,14.77229021,15.70267940,13.88766114,14.54198185,910218417.53,14.76794709,15.66868735,13.79068713,14.54401067,760900537.33,760900537,3335799,126920009,19062071
2021-08-03T00:00:00Z,12.33922312,14.86202907,11.67523100,14.76632405,1076429470.74,12.33843995,14.86554477,11.66587651,14.76392248,887889318.07,887889318,2829121,160458803,25252226
2021-08-02T00:00:00Z,11.97624755,12.45013969,11.09100596,12.33484473,406268803.68,11.98434387,12.46558850,11.11148555,12.33846323,331381403.47,331381403,1335916,60476530,13074952
2021-08-01T00:00:00Z,10.74762590,12.13725531,10.36006013,11.97200460,401186747.87,10.75704678,12.17170849,10.42575203,11.98603990,302083024.07,302083024,1454882,80955326,16693514
2021-07-31T00:00:00Z,10.85455184,11.29832124,10.55860878,10.75626434,249312070.25,10.85840978,11.30853125,10.56008167,10.75723767,184722272.58,184722272,1262518,54027434,9299844
2021-07-30T00:00:00Z,11.06528377,11.43419013,10.35295358,10.85948159,313266819.75,11.06463320,11.35500932,10.27479073,10.85890911,243259675.67,243259675,1260343,56267938,12478862
2021-07-29T00:00:00Z,10.99255755,11.81740910,10.71008477,11.05211262,485351456.77,10.99695283,11.81780356,10.69513574,11.05052351,383774300.83,383774300,1387771,85597664,14591720
2021-07-28T00:00:00Z,9.51534182,11.15171756,9.19058448,10.98359471,514833758.57,9.51424944,11.15206302,9.17733276,10.98721546,395390550.81,395390550,1819172,102517836,15106199
2021-07-27T00:00:00Z,8.52108921,9.69581127,8.31096047,9.52375291,368535940.21,8.52210983,9.66440154,8.21708486,9.52517951,274204487.35,274204487,1416684,77975850,14938917
2021-07-26T00:00:00Z,8.26649271,9.63952475,8.23535232,8.51080505,419982669.08,8.26743654,9.68593441,8.22913717,8.51139450,314391315.60,314391315,1159297,89654947,14777108
2021-07-25T00:00:00Z,8.50177872,8.66411431,7.94864254,8.26952934,238076851.54,8.50346342,8.63237037,7.90808189,8.27092198,181857587.72,181857587,738284,43532869,11948109
2021-07-24T00:00:00Z,7.90086279,8.51381030,7.56964681,8.49019692,287715396.83,7.90188635,8.51582162,7.55574929,8.49156479,212401671.14,212401671,4924805,57619703,12769216
2021-07-23T00:00:00Z,7.34376111,7.94176266,7.02170465,7.90059846,271331302.34,7.34346789,7.94177019,6.97941927,7.89962747,205681034.58,205681034,5325393,48588324,11736548
2021-07-22T00:00:00Z,6.62515343,7.51018918,6.61726079,7.34853491,244397310.99,6.62584976,7.50919587,6.61099948,7.34837603,188547930.77,188547930,5140144,42321145,8388089
2021-07-21T00:00:00Z,5.87443914,6.74871960,5.87443914,6.61904691,197507961.26,5.87417865,6.75973339,5.84562782,6.61927565,150015970.74,150015970,3792279,35950830,7748880
2021-07-20T00:00:00Z,5.97704991,6.02378114,5.60303601,5.87695604,147368253.62,5.97088828,6.02631164,5.59342004,5.87201118,114327685.08,114327685,1753426,21579953,9707188
2021-07-19T00:00:00Z,6.49871318,6.49871318,5.93727829,5.97650973,108550132.98,6.49652286,6.49652286,5.93204700,5.97560471,87120101.92,87120101,285685,15642205,5502140
2021-07-18T00:00:00Z,6.50376856,6.90224246,6.46815557,6.49591131,121739017.57,6.50407423,6.90181285,6.46429277,6.49306689,101411044.92,101411044,513036,14994700,4820236
2021-07-17T00:00:00Z,6.56848695,6.78807400,6.27509726,6.50189885,163395699.71,6.56722411,6.79055687,6.26991686,6.50263204,132883428.44,132883428,706341,23788644,6017285
2021-07-16T00:00:00Z,6.68202992,6.96737296,6.24846275,6.57490245,237250023.47,6.68187442,6.97953058,6.24265224,6.57199291,191227311.89,191227311,596862,36700168,8725680
2021-07-15T00:00:00Z,6.94276634,7.14394050,6.55019248,6.67368250,210835959.75,6.94378024,7.16519505,6.53832686,6.67290924,170607373.95,170607373,372899,31917113,7938571
2021-07-14T00:00:00Z,7.12465411,7.49670464,6.66311605,6.93830070,368006311.93,7.12411933,7.48612099,6.64000645,6.94055524,299822397.94,299822397,587998,56206984,11388931
2021-07-13T00:00:00Z,7.86735726,8.12105651,7.00628072,7.12555879,238022931.28,7.86402675,8.12788943,6.99247638,7.12268554,205029115.47,205029115,552284,24959132,7482398
2021-07-12T00:00:00Z,8.43468059,8.43468059,7.55656749,7.87764019,265997882.83,8.43325577,8.45832185,7.55135033,7.87471000,225416017.77,225416017,591185,31698164,8292515
2021-07-11T00:00:00Z,7.89800447,8.76937387,7.89800447,8.42856356,384205253.69,7.90038384,8.75988522,7.90038384,8.42616780,318249198.03,318249198,986819,52552874,12416360
2021-07-10T00:00:00Z,8.10172436,8.52505451,7.50469446,7.89762621,386244649.89,8.10476007,8.54361291,7.49163801,7.89722995,324389816.17,324389816,765280,50963490,10126062
2021-07-09T00:00:00Z,6.70325540,8.44185437,6.55914182,8.09788456,641097724.87,6.70379218,8.44552090,6.52524508,8.10100357,536214194.46,536214194,1415945,86118314,17349270
2021-07-08T00:00:00Z,7.09718891,7.20797435,6.44959251,6.69867914,282226119.33,7.09802864,7.20811135,6.43780339,6.69774493,229228293.76,229228293,852752,43535731,8609341
2021-07-07T00:00:00Z,6.52612146,7.64424195,6.42558474,7.10785794,410660718.60,6.52923415,7.66620772,6.43194032,7.10602058,333887734.99,333887734,1882371,62879161,12011450
2021-07-06T00:00:00Z,6.02127842,6.57784840,5.96947109,6.53469144,208407260.17,6.01997519,6.57636851,5.95064339,6.53594268,166890889.60,166890889,1167276,30702390,9646703
2021-07-05T00:00:00Z,5.94567150,6.16447019,5.57185873,6.00942718,122439595.85,5.95752541,6.18244819,5.58527654,6.01817334,99095133.71,99095133,569457,15663493,7111511
2021-07-04T00:00:00Z,5.80657864,6.20496693,5.72182192,5.96298736,104500560.83,5.80632205,6.21390092,5.70614223,5.96214827,84085128.76,84085128,324439,14232892,5858100
2021-07-03T00:00:00Z,5.71828104,5.98441858,5.66923947,5.80517634,67920259.48,5.72013361,5.98728261,5.65721164,5.80715063,55611072.74,55611072,183359,8100280,4025546
2021-07-02T00:00:00Z,5.89051045,6.08525707,5.56495385,5.71738134,101850524.97,5.88832986,6.08390179,5.55237027,5.71709587,80162326.82,80162326,279301,12439644,8969252
2021-07-01T00:00:00Z,6.56254864,6.56254864,5.75214381,5.89106228,176003868.16,6.57035859,6.57035859,5.74689534,5.89253243,146323280.78,146323280,554664,22369587,6756335
2021-06-30T00:00:00Z,6.01541516,6.71017271,5.71273376,6.56407260,247411364.68,6.01453870,6.71040359,5.70557567,6.56690381,200855795.94,200855795,760570,37653269,8141728
2021-06-29T00:00:00Z,5.54254460,6.28685567,5.52165776,6.01894506,195132807.53,5.54079437,6.29419713,5.49946640,6.01676453,155859597.58,155859597,607184,28425183,10240841
