timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-10-13T00:00:00Z,0.00028698457,0.00028997429,0.00028624303,0.00028829127,95539627.73,0.00028724569,0.00029087077,0.00028683668,0.00028897983,13777224.28,3474867,13777224,12669,998229,77276636
2022-10-12T00:00:00Z,0.00028005674,0.00030252821,0.00027811303,0.00028611339,764861118.97,0.00028036370,0.00030289633,0.00027856465,0.00028613850,228664174.58,3516156,228664174,7854217,453280659,71545910
2022-10-11T00:00:00Z,0.00028777414,0.00029305452,0.00026167507,0.00028043274,1154697553.79,0.00028805724,0.00029340866,0.00026381464,0.00028075996,321700068.54,5847883,321700068,10701048,733591051,82857502
2022-10-10T00:00:00Z,0.00030651367,0.00031757176,0.00028311594,0.00028841685,894151393.77,0.00030684699,0.00031859439,0.00028344166,0.00028859421,274712990.18,5278467,274712990,11344448,499767794,103047692
2022-10-09T00:00:00Z,0.00029467830,0.00030952763,0.00029099955,0.00030626071,645210358.82,0.00029484243,0.00031002413,0.00029122837,0.00030655301,192687078.76,3553797,192687078,7558155,356549453,84861873
2022-10-08T00:00:00Z,0.00028940287,0.00029821288,0.00028456661,0.00029465082,490069092.30,0.00028950110,0.00029849033,0.00028472100,0.00029482454,139485460.15,1943591,139485460,6332054,287336652,54971333
2022-10-07T00:00:00Z,0.00028560508,0.00030565559,0.00028257965,0.00028980285,747566023.87,0.00028565407,0.00030688774,0.00028255123,0.00028984859,215829065.02,5209007,215829065,10453701,438301210,77773040
2022-10-06T00:00:00Z,0.00030041618,0.00030742333,0.00028198636,0.00028677816,639608364.75,0.00030064291,0.00030758803,0.00028286689,0.00028685260,164381821.66,3528476,164381821,8769346,405493016,57435703
2022-10-05T00:00:00Z,0.00030726283,0.00031660579,0.00028961865,0.00030117120,824344259.93,0.00030746349,0.00031699530,0.00028990090,0.00030133730,226874097.30,5998345,226874097,10281748,499691294,81498774
2022-10-04T00:00:00Z,0.00031083123,0.00032103824,0.00029836183,0.00030588620,1033525255.00,0.00031134389,0.00032138764,0.00029891292,0.00030603178,289084109.18,5828550,289084109,13128924,645331656,80152014
