timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.C,volume_transparency.D
2020-01-17T00:00:00Z,0.20018980,0.20892610,0.18767068,0.18949397,3039954.58,,,,,,1913854,1126100
2020-01-16T00:00:00Z,0.20130143,0.21351816,0.19170397,0.20728009,3303237.97,,,,,,2236415,1066822
2020-01-15T00:00:00Z,0.19504632,0.21917541,0.19259511,0.20452575,4036924.75,,,,,,2540220,1496703
2020-01-14T00:00:00Z,0.19708817,0.23068187,0.19302895,0.19496914,3823902.53,,,,,,2214359,1609543
2020-01-13T00:00:00Z,0.20285220,0.21293139,0.18922227,0.19601049,3654182.61,,,,,,1430580,2223602
2020-01-12T00:00:00Z,0.20884931,0.22168605,0.20784550,0.21055054,1440207.28,,,,,,1159743,280464
2020-01-11T00:00:00Z,0.20882130,0.22014381,0.20165952,0.20928400,2017953.83,,,,,,1418572,599381
2020-01-10T00:00:00Z,0.20643298,0.22704673,0.20547534,0.21198621,3485174.17,,,,,,2378742,1106431
2020-01-09T00:00:00Z,0.20429468,0.21841331,0.18933237,0.20589373,3231882.49,,,,,,1514809,1717073
2020-01-08T00:00:00Z,0.21974555,0.22411418,0.20081762,0.20862690,2445085.94,,,,,,1578072,867013
2020-01-07T00:00:00Z,0.20000924,0.21416883,0.18593079,0.20175054,2403748.01,,,,,,1636550,767197
2020-01-06T00:00:00Z,0.23450448,0.25638356,0.22854550,0.23943929,3110813.57,,,,,,1864271,1246542
2020-01-05T00:00:00Z,0.22461416,0.23614232,0.21860096,0.22974483,2398442.30,,,,,,1587897,810545
2020-01-04T00:00:00Z,0.22531989,0.24599970,0.21745685,0.23840306,3920807.24,,,,,,2455042,1465764
2020-01-03T00:00:00Z,0.21178120,0.23651574,0.19741636,0.22065523,4642159.14,,,,,,2727853,1914306
2020-01-02T00:00:00Z,0.23531976,0.23829978,0.20262691,0.22185881,4466396.21,,,,,,2837934,1628462
2020-01-01T00:00:00Z,0.25017028,0.26701897,0.23421687,0.23761061,5285247.70,,,,,,3753231,1532016
2019-12-31T00:00:00Z,0.27177164,0.27651912,0.23155910,0.25199993,4857481.18,,,,,,3426912,1430568
2019-12-30T00:00:00Z,0.29674544,0.30466073,0.26904547,0.27586702,125251.26,,,,,,19028,106222
2019-12-29T00:00:00Z,0.28525677,0.33494518,0.28042677,0.30163563,152142.61,,,,,,33568,118574
2019-12-28T00:00:00Z,0.30524222,0.31667144,0.27474172,0.28266338,60857349.58,,,,,,31140,60826209
2019-12-27T00:00:00Z,0.34324665,0.40196228,0.27224798,0.29687270,256098.70,,,,,,254118,1980
2019-12-26T00:00:00Z,0.33379206,0.37214300,0.31363847,0.34430281,166000.95,,,,,,35955,130045
2019-12-25T00:00:00Z,0.31498545,0.35625332,0.30949092,0.33637593,133597.86,,,,,,49824,83773
2019-12-24T00:00:00Z,0.27162703,0.32324071,0.26885606,0.30966625,144856.06,,,,,,43225,101630
2019-12-23T00:00:00Z,0.25752808,0.27372164,0.24669599,0.26437138,71364.19,,,,,,16513,54850
2019-12-22T00:00:00Z,0.24657909,0.27814820,0.24657909,0.26321698,112325.22,,,,,,26981,85343
2019-12-21T00:00:00Z,0.23726335,0.27054695,0.22895949,0.25033156,111706.77,,,,,,32292,79414
2019-12-20T00:00:00Z,0.18613875,0.22672984,0.18613875,0.20965124,62305.04,,,,,,20578,41726
2019-12-19T00:00:00Z,0.16072766,0.17545363,0.15254398,0.16000917,47834.56,,,,,,12525,35308
2019-12-18T00:00:00Z,0.22098863,0.25051027,0.21143513,0.21338665,81044.07,,,,,,35762,45281
2019-12-17T00:00:00Z,0.24235485,0.25237133,0.20531960,0.24081450,78799.11,,,,,,39448,39350
2019-12-16T00:00:00Z,0.26339694,0.26339694,0.24123346,0.24183811,60333.92,,,,,,11212,49121
2019-12-15T00:00:00Z,0.26124441,0.26754725,0.25835011,0.26307483,52996.72,,,,,,6090,46905
2019-12-14T00:00:00Z,0.26495544,0.26666037,0.24664491,0.26324499,58000.89,,,,,,10893,47107
2019-12-13T00:00:00Z,0.26401589,0.29864915,0.25276566,0.26786139,68915.71,,,,,,23126,45789
2019-12-12T00:00:00Z,0.26114302,0.26698743,0.25910772,0.26294605,47240.74,,,,,,7053,40187
2019-12-11T00:00:00Z,0.25138245,0.27059058,0.24773007,0.25919880,69013.52,,,,,,27094,41918
2019-12-10T00:00:00Z,0.25287607,0.25973539,0.24250678,0.25063430,58019.86,,,,,,11582,46437
2019-12-09T00:00:00Z,0.22720294,0.22720294,0.21056691,0.21735475,50283.57,,,,,,10444,39839
2019-12-08T00:00:00Z,0.26801621,0.27863615,0.26280172,0.26521762,53293.60,,,,,,9737,43555
2019-12-07T00:00:00Z,0.26862518,0.27732805,0.26150689,0.26882043,60149.65,,,,,,17062,43087
2019-12-06T00:00:00Z,0.25294708,0.27755185,0.25193048,0.26781975,71227.66,,,,,,31838,39389
2019-12-05T00:00:00Z,0.22214515,0.23054405,0.21520618,0.22390251,67031.61,,,,,,26593,40437
2019-12-04T00:00:00Z,0.26145649,0.26313965,0.23430278,0.25598561,83817.55,,,,,,42518,41298
2019-12-03T00:00:00Z,0.23455815,0.25377746,0.22555977,0.23410026,96963.87,,,,,,37292,59671
2019-12-02T00:00:00Z,0.27384313,0.27629848,0.24075267,0.25748043,59558.44,,,,,,18770,40788
2019-12-01T00:00:00Z,0.27791909,0.31264378,0.27176577,0.27737290,61180.52,,,,,,13672,47508
2019-11-30T00:00:00Z,0.28830047,0.30289276,0.27166066,0.28276082,93680.27,,,,,,43993,49686
2019-11-29T00:00:00Z,0.25280586,0.34007578,0.25280586,0.29210875,115239.29,,,,,,44322,70916
2019-11-28T00:00:00Z,0.21728039,0.28897579,0.21191884,0.26326564,238989.48,,,,,,121219,117770
2019-11-27T00:00:00Z,0.21408768,0.25493117,0.21401229,0.21697527,133436.56,,,,,,51237,82199
2019-11-26T00:00:00Z,0.22341521,0.22494962,0.19860786,0.20788549,119188.37,,,,,,37445,81742
2019-11-25T00:00:00Z,0.24597001,0.26107503,0.21971190,0.22168287,145491.06,,,,,,60325,85165
2019-11-24T00:00:00Z,0.26073061,0.26073061,0.23952653,0.24736533,97641.40,,,,,,9544,88096
