timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2020-11-12T00:00:00Z,0.32040164,0.33262312,0.31332510,0.31737579,4597841.95,0.32124479,0.33568626,0.31611271,0.31807007,595165.00,595165,13512,1916134,2073029
2020-11-11T00:00:00Z,0.30890514,0.34073344,0.30890514,0.32066524,5802902.20,0.30882526,0.34426976,0.30882526,0.32131844,745983.00,745983,10560,2592259,2454098
2020-11-10T00:00:00Z,0.29785200,0.31289065,0.29277446,0.30893050,3492600.21,0.29781209,0.31307780,0.29285947,0.30940174,423924.35,423924,10696,1502382,1555597
2020-11-09T00:00:00Z,0.30327749,0.30626522,0.29468899,0.29792288,2558514.62,0.30404592,0.30701310,0.29487394,0.29840812,301797.42,301797,4550,1353992,898174
2020-11-08T00:00:00Z,0.29162522,0.31065382,0.29162522,0.30334336,1880024.37,0.29166431,0.31230615,0.29166431,0.30363528,243168.20,243168,2792,848064,785999
2020-11-07T00:00:00Z,0.30670065,0.30670065,0.28920982,0.29176649,3543589.96,0.30701871,0.30701871,0.28869802,0.29181346,456497.99,456497,5234,1612776,1469080
2020-11-06T00:00:00Z,0.29501701,0.30937172,0.29002019,0.30628557,3074031.18,0.29529657,0.31025557,0.28905218,0.30651380,437697.15,437697,6137,1462445,1167751
2020-11-05T00:00:00Z,0.28485507,0.31113447,0.28485507,0.29418151,2611272.06,0.28544403,0.31515209,0.28544403,0.29490010,361813.25,361813,5259,1377561,866637
2020-11-04T00:00:00Z,0.29069654,0.29834943,0.28217824,0.28509210,2296766.48,0.29085027,0.29880627,0.28307962,0.28534652,287280.06,287280,9089,1153774,846622
2020-11-03T00:00:00Z,0.28617155,0.29495223,0.28312860,0.28988985,2928093.81,0.28710231,0.29748309,0.28710231,0.29047689,419226.87,419226,5977,1366814,1136074
2020-11-02T00:00:00Z,0.29946311,0.30100498,0.28337427,0.28594202,2904449.35,0.30028252,0.30164563,0.28373415,0.28671939,196276.69,196276,4488,1658250,1045433
2020-11-01T00:00:00Z,0.30300254,0.30429627,0.29846532,0.29979506,1465413.09,0.30393490,0.30546704,0.29871867,0.30050905,83912.31,83912,1280,621144,759075
2020-10-31T00:00:00Z,0.30282105,0.31005270,0.30041695,0.30169098,1832102.87,0.30472958,0.31243633,0.30221968,0.30360030,177965.42,177965,1280,907412,745443
2020-10-30T00:00:00Z,0.30156338,0.31448463,0.30076725,0.30437162,2482147.99,0.30174044,0.31625502,0.30132452,0.30471782,324322.70,324322,2007,1179445,976372
2020-10-29T00:00:00Z,0.30892118,0.31806020,0.29961728,0.30241031,2173928.35,0.30901423,0.31997063,0.29921432,0.30271863,231103.90,231103,4132,968971,969720
2020-10-28T00:00:00Z,0.31060491,0.32498453,0.29510562,0.30864332,4790220.53,0.31121510,0.32673543,0.29218838,0.30826604,626950.60,626950,2549,2386534,1774185
2020-10-27T00:00:00Z,0.30439430,0.32436248,0.30439430,0.31022734,4181336.30,0.30443442,0.32692826,0.30443442,0.31091713,291497.67,291497,1589,1650960,2237287
2020-10-26T00:00:00Z,0.30859694,0.31778434,0.30128030,0.30424870,4362980.87,0.30967843,0.31741478,0.30211296,0.30459787,224033.87,224033,6912,1198008,2934025
2020-10-25T00:00:00Z,0.31113589,0.31295761,0.30375884,0.30780948,1685137.29,0.31191467,0.31243583,0.30486953,0.30826132,134076.36,134076,2331,772440,776289
2020-10-24T00:00:00Z,0.31623169,0.32140719,0.30832262,0.31171223,1913428.73,0.31652923,0.32271165,0.30801311,0.31195022,264625.36,264625,2267,692348,954186
2020-10-23T00:00:00Z,0.31514072,0.32861111,0.31059248,0.31600583,3099639.12,0.31538789,0.32862196,0.31104030,0.31634065,502690.64,502690,3074,1048988,1544885
2020-10-22T00:00:00Z,0.31168765,0.31951930,0.30980655,0.31465401,2651716.53,0.31294988,0.32093338,0.31092858,0.31586601,386229.81,386229,1585,1141900,1122001
2020-10-21T00:00:00Z,0.30957941,0.33157283,0.30713050,0.31205330,3139915.19,0.30965723,0.33332083,0.30657839,0.31272020,491732.44,491732,2638,1532253,1113290
2020-10-20T00:00:00Z,0.31503718,0.32316588,0.30512813,0.30807182,3233782.18,0.32085999,0.32633080,0.30702975,0.30941260,562054.52,562054,218,1454718,1216790
2020-10-19T00:00:00Z,0.31054227,0.32915318,0.31054227,0.31714993,2852556.03,0.31353913,0.33380216,0.31353913,0.32064277,387529.79,387529,641,1050824,1413559
2020-10-18T00:00:00Z,0.31610080,0.32100253,0.31194658,0.31282138,829240.89,0.31756967,0.32293957,0.31372917,0.31372917,67889.12,67889,593,416398,344359
2020-10-17T00:00:00Z,0.31738324,0.31852758,0.31188257,0.31555880,1117529.20,0.31959000,0.32063070,0.31472046,0.31790290,142173.38,142173,1091,554607,419656
2020-10-16T00:00:00Z,0.31834037,0.31834037,0.30137982,0.31238547,2317625.62,0.32513388,0.32513388,0.30843142,0.31964505,358138.29,358138,1383,1024622,933481
2020-10-15T00:00:00Z,0.31917271,0.32915436,0.31708423,0.32384758,1954502.28,0.32062920,0.33067834,0.31962117,0.32572565,265061.54,265061,803,957880,730756
