timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-02-20T00:00:00Z,6.32311287,6.78349356,5.78335441,5.95867190,276893326.51,6.32524456,6.79837023,5.78277438,5.95630275,143345658.63,143345658,448872,74122807,58975987
2021-02-19T00:00:00Z,6.69765241,7.28477297,6.25360214,6.31877095,271932917.11,6.70309158,7.38163074,6.26383796,6.32041800,130868752.00,130868751,324070,70618118,70121975
2021-02-18T00:00:00Z,7.28576186,7.44061069,6.43119628,6.69021969,336842316.72,7.27101811,7.41721057,6.42265322,6.69078702,170036500.80,170036500,278785,79113906,87413124
2021-02-17T00:00:00Z,6.53546511,7.56835717,5.93547889,7.29743479,557966373.46,6.52953634,7.59275844,5.92380606,7.29925570,291053681.72,291053681,763232,179138715,87010743
2021-02-16T00:00:00Z,5.46124667,6.84027456,5.46124667,6.52826409,418611460.94,5.46320360,6.86127885,5.46320360,6.52596516,249101874.87,249101874,692564,141469982,27347039
2021-02-15T00:00:00Z,5.64709976,5.83853106,5.08934516,5.45671616,221890502.34,5.65098375,5.84099965,5.11360142,5.45817005,131303443.34,131303443,557198,77954525,12075335
2021-02-14T00:00:00Z,5.60506233,6.12838185,5.38301537,5.63728068,260612095.72,5.60789045,6.11334592,5.39209625,5.63416086,132985709.58,132985709,427565,70463936,56734883
2021-02-13T00:00:00Z,5.72873795,5.94118506,5.44576509,5.59852734,227189542.83,5.74436830,5.94311664,5.47101153,5.61332595,108323542.88,108323542,139751,54157822,64568425
2021-02-12T00:00:00Z,5.49079212,6.18532934,5.35402775,5.72738792,408336967.32,5.49200076,6.19714347,5.36355955,5.72933870,178371576.42,178371576,444683,97971315,131549391
2021-02-11T00:00:00Z,6.09878430,6.71092440,5.47816247,5.50077724,354122275.53,6.10018818,6.77893493,5.47892957,5.50491966,154631540.42,154631540,518923,88063649,110908161
2021-02-10T00:00:00Z,6.46265179,6.84098934,5.74922729,6.09487988,549109061.73,6.47737570,6.80871405,5.73914184,6.09368727,227822561.24,227822561,886075,146822418,173578006
2021-02-09T00:00:00Z,5.77655410,7.91697139,4.73326431,6.45903833,1442750398.13,5.78408579,8.10064514,4.69837409,6.47138906,628069017.76,628069017,4850892,331920657,477909830
2021-02-08T00:00:00Z,3.08665159,6.40824357,3.08665159,5.78078455,1182090336.86,3.09010866,6.47949945,3.09010866,5.78605270,493385732.37,493385732,5298478,290829890,392576234
2021-02-07T00:00:00Z,2.69305700,3.17259903,2.50994544,3.08106448,225466390.56,2.69499225,3.18164273,2.51786088,3.08947924,82069508.63,82069508,979123,65764181,76653577
2021-02-06T00:00:00Z,2.88291131,3.00108527,2.58461172,2.69303824,124569198.74,2.88491327,3.00900152,2.57326022,2.69506758,48645676.87,48645676,396049,36193397,39334074
2021-02-05T00:00:00Z,2.66696492,3.04033772,2.66696492,2.87952215,181555873.27,2.67051796,3.04359748,2.67051796,2.88199921,62739687.22,62739687,540113,56087677,62188395
2021-02-04T00:00:00Z,2.11533589,2.92014817,1.96922148,2.66799277,350948882.58,2.11540975,2.96073474,1.96593254,2.67331976,127668041.82,127668041,1005595,102983180,119292064
2021-02-03T00:00:00Z,2.35542556,2.57862963,2.05036346,2.11321538,235672444.67,2.35796853,2.61101007,2.06582519,2.11520225,72455472.37,72455472,1242872,76331307,85642792
2021-02-02T00:00:00Z,1.80126996,2.35570715,1.80126996,2.35543325,236637205.49,1.80235990,2.35991346,1.80235990,2.35988487,72968216.82,72968216,1341120,81713289,80614578
2021-02-01T00:00:00Z,1.45971214,1.90056069,1.43923063,1.79964100,159610084.17,1.46194475,1.90295206,1.44675902,1.80393001,44833574.09,44833574,1245955,59381912,54148642
2021-01-31T00:00:00Z,1.43434043,1.54272643,1.34968096,1.46043613,76876653.31,1.43603832,1.54972179,1.34485908,1.46254145,21952862.27,21952862,499068,27165830,27258891
2021-01-30T00:00:00Z,1.47415731,1.57006406,1.40536266,1.43485418,66577979.89,1.47382848,1.56847915,1.40717088,1.43462691,19389465.99,19389465,336061,22945820,23906632
2021-01-29T00:00:00Z,1.45431291,1.76263025,1.38144607,1.47494069,132975107.98,1.45713329,1.78672762,1.36344039,1.47654518,35445882.74,35445882,1271084,49331667,46926473
2021-01-28T00:00:00Z,1.12220049,1.66127775,1.12220049,1.45598101,220128785.45,1.12188016,1.68900131,1.12188016,1.45621995,55665045.49,55665045,1822722,82404813,80236203
2021-01-27T00:00:00Z,1.26542235,1.26542235,1.10065425,1.12304960,86467998.90,1.26515766,1.26515766,1.09683634,1.12423278,17074410.16,17074410,982196,39908666,28502725
2021-01-26T00:00:00Z,0.87039597,1.39266648,0.86675585,1.26632031,206929449.53,0.86998688,1.40583072,0.86617933,1.26515269,36302484.03,36302484,2043700,84736403,83846860
2021-01-25T00:00:00Z,0.90839513,0.92008165,0.85461615,0.87062310,18469224.24,0.90962642,0.91775023,0.85090494,0.87157208,3500711.43,3500711,109282,8239278,6619951
2021-01-24T00:00:00Z,0.90375366,0.93234209,0.85277386,0.90847266,19907460.50,0.90397110,0.93468709,0.85103679,0.90917214,3429718.30,3429718,31428,8610726,7835587
2021-01-23T00:00:00Z,0.81258067,0.90373271,0.79309542,0.90373212,18537734.42,0.81228184,0.90435671,0.79067197,0.90435671,3607336.12,3607336,134382,8811140,5984875
2021-01-22T00:00:00Z,0.79503333,0.88353986,0.79503333,0.81322578,22788028.42,0.79479028,0.88662573,0.79479028,0.81334903,4469642.90,4469642,204107,11113396,7000881
2021-01-21T00:00:00Z,0.90351593,0.90351593,0.78413549,0.79371208,19745297.76,0.90319338,0.90319338,0.78250823,0.79360679,4162745.18,4162745,215477,10254182,5112892
2021-01-20T00:00:00Z,0.91075835,0.94282284,0.88626547,0.90489046,19485375.42,0.91081257,0.94343936,0.89053298,0.90580127,3551683.47,3551683,97970,9352577,6483144
2021-01-19T00:00:00Z,0.80086320,0.98300784,0.77474031,0.90986886,47347086.17,0.80091857,0.97910674,0.76902748,0.91012652,8259609.44,8259609,173580,20826193,18087702
2021-01-18T00:00:00Z,0.80708835,0.83752499,0.78933439,0.80199278,10815261.61,0.80709589,0.84159031,0.78884518,0.80276427,2174433.24,2174433,82365,4416927,4141534
2021-01-17T00:00:00Z,0.76026650,0.84811355,0.74477682,0.80722650,19241489.16,0.76045729,0.85203514,0.74377328,0.80686959,4353995.62,4353995,91873,7506603,7289016
2021-01-16T00:00:00Z,0.79223307,0.79528965,0.75389197,0.75989058,12382569.23,0.79264865,0.79264865,0.75335802,0.76021333,2643020.27,2643020,96239,5594475,4048834
2021-01-15T00:00:00Z,0.83076068,0.83076068,0.76835912,0.79274863,17961152.30,0.83077586,0.83077586,0.77002105,0.79321002,3925769.71,3925769,165440,8211078,5658863
2021-01-14T00:00:00Z,0.82268360,0.92010034,0.81951290,0.83168627,24099254.39,0.82365299,0.92555112,0.82365299,0.83201862,4383890.27,4383890,123966,11095926,8495471
2021-01-13T00:00:00Z,0.74818268,0.90111581,0.74818268,0.82246776,24131964.09,0.74862511,0.91227408,0.74862511,0.82359297,4920768.94,4920768,137836,11548909,7524449
2021-01-12T00:00:00Z,0.73658933,0.80246934,0.69923415,0.74581107,26831749.54,0.73775267,0.79644964,0.69744621,0.74643756,5316134.68,5316134,104916,12843526,8567171
2021-01-11T00:00:00Z,0.84299218,0.86885592,0.73005433,0.73775867,47076432.44,0.84309175,0.87073642,0.73419019,0.73773699,9730293.45,9730293,309495,24765446,12271197
2021-01-10T00:00:00Z,0.81574482,0.88670257,0.76635353,0.84359283,26869856.45,0.81591595,0.88585431,0.75685010,0.84387069,5682483.13,5682483,184991,11689910,9312471
2021-01-09T00:00:00Z,0.84893558,0.84893558,0.79483469,0.81563677,15759102.03,0.84902061,0.84902061,0.79053082,0.81585032,3454712.71,3454712,124341,6926651,5253395
2021-01-08T00:00:00Z,0.85660889,0.93028435,0.82499195,0.84979171,28209132.86,0.85608619,0.93721750,0.82463760,0.84983599,5692603.18,5692603,248325,13029180,9239023
2021-01-07T00:00:00Z,0.71376767,1.00738941,0.71376767,0.85917081,61240903.46,0.71318257,1.01830959,0.71318257,0.85900107,12858004.28,12858004,635973,25272006,22474919
2021-01-06T00:00:00Z,0.71582506,0.77379637,0.70719177,0.71383898,15296943.71,0.71560140,0.78416819,0.70902948,0.71308108,2999756.69,2999756,258436,7083217,4955532
2021-01-05T00:00:00Z,0.66815598,0.75348312,0.66238315,0.71453689,38348118.10,0.66798872,0.78194414,0.66798872,0.71428897,4803126.24,4803126,228849,23952858,9363284
2021-01-04T00:00:00Z,0.65680191,0.72044234,0.63615625,0.66796251,45145920.67,0.65667705,0.71804249,0.63445235,0.66808057,5041868.56,5041868,283667,28487806,11332577
2021-01-03T00:00:00Z,0.62829030,0.67196010,0.61536097,0.65560822,28603902.38,0.62783098,0.67041912,0.60992029,0.65562321,3360904.27,3360904,199314,18573635,6470048
2021-01-02T00:00:00Z,0.64867333,0.69023028,0.60936966,0.62894108,17688139.71,0.64870748,0.71134773,0.60532029,0.62877485,2318034.69,2318034,233650,10974608,4161845
2021-01-01T00:00:00Z,0.65426970,0.67598265,0.63173963,0.64834177,14552907.13,0.65403915,0.67807759,0.63195187,0.64811056,2046408.20,2046408,95652,8911455,3499391
2020-12-31T00:00:00Z,0.66781571,0.68827879,0.63348390,0.65528122,18971519.13,0.66730549,0.69178099,0.63700654,0.65584432,2183833.18,2183833,125848,11960036,4701800
2020-12-30T00:00:00Z,0.64769788,0.71451187,0.64769788,0.66742923,34256358.78,0.64817486,0.72449266,0.64817486,0.66678715,4035398.96,4035398,235450,22077790,7907719
2020-12-29T00:00:00Z,0.61878850,0.68954773,0.61261672,0.64719764,40076797.81,0.61803974,0.70301555,0.61803974,0.64748553,4215193.68,4215193,220028,26213112,9428462
2020-12-28T00:00:00Z,0.55003523,0.65464653,0.54651661,0.61829291,39813636.32,0.55079127,0.65796554,0.54731262,0.61954814,4321280.37,4321280,236072,25985087,9271196
2020-12-27T00:00:00Z,0.53792816,0.56382279,0.51284734,0.55124396,22752878.20,0.54089708,0.55966957,0.50218006,0.55100677,2839947.91,2839947,193016,14562146,5157767
2020-12-26T00:00:00Z,0.53840970,0.59270026,0.53641569,0.53987631,15000321.42,0.53828559,0.61027041,0.53593751,0.54043452,1729932.73,1729932,82931,8922188,4265268
2020-12-25T00:00:00Z,0.51841557,0.57512417,0.51841557,0.53829120,64390866.55,0.51860257,0.58521045,0.51860257,0.53827504,1760334.30,1760334,75362,8626269,53928900
2020-12-24T00:00:00Z,0.46021293,0.54482873,0.45931034,0.51848874,22705872.78,0.45914719,0.54747091,0.45914719,0.51851926,3646323.32,3646323,133271,9393772,9532505
2020-12-23T00:00:00Z,0.50888891,0.50888891,0.45154537,0.45932848,13699069.43,0.50913238,0.50913238,0.45073072,0.45863013,1795548.96,1795548,131976,7732741,4038802
2020-12-22T00:00:00Z,0.46794373,0.52188833,0.46794373,0.50928063,18232725.71,0.46795157,0.53175093,0.46795157,0.50957477,2131156.31,2131156,58285,10695031,5348252
2020-12-21T00:00:00Z,0.48874413,0.50517504,0.44904594,0.46786750,20706305.54,0.48924331,0.49404717,0.45041467,0.46745862,2620152.51,2620152,109680,11961715,6014757
2020-12-20T00:00:00Z,0.53780737,0.53780737,0.47721558,0.48908058,14922520.84,0.53804279,0.53804279,0.47583472,0.48946357,1980618.92,1980618,65596,9312351,3563953
2020-12-19T00:00:00Z,0.53087989,0.55602474,0.52515928,0.53628365,9539918.38,0.53197063,0.56567525,0.52894928,0.53777305,1252177.27,1252177,53902,5482176,2751662
2020-12-18T00:00:00Z,0.48363376,0.54075640,0.48204244,0.53222686,21006423.42,0.48440903,0.54060789,0.48437171,0.53204518,2522223.84,2522223,77260,12977780,5429158
2020-12-17T00:00:00Z,0.50453325,0.54742860,0.47643921,0.48273814,25090681.72,0.50592730,0.55621949,0.47688983,0.48372859,3723501.91,3723501,149848,14834430,6382900
2020-12-16T00:00:00Z,0.47961617,0.55914671,0.47961617,0.50469119,22868095.37,0.48013823,0.58364967,0.48013823,0.50554518,2721344.27,2721344,98739,13744507,6303503
2020-12-15T00:00:00Z,0.46883089,0.47629547,0.46355597,0.47488460,6184998.70,0.47268661,0.48062061,0.46662761,0.47848279,474688.85,474688,23885,2273852,3412571
2020-12-14T00:00:00Z,0.48029723,0.48293512,0.46913979,0.47217147,7704219.35,0.48130246,0.48555745,0.47052233,0.47264266,562678.10,562678,14871,3108354,4018315
2020-12-13T00:00:00Z,0.48242077,0.48913019,0.47219765,0.47939646,6304752.31,0.48282997,0.49378369,0.47098188,0.47941280,668000.51,668000,39383,3623750,1973617
2020-12-12T00:00:00Z,0.46408891,0.49036627,0.46408891,0.48261469,6141200.16,0.46415423,0.49273592,0.46415423,0.48276075,596828.21,596828,34001,3568416,1941953
2020-12-11T00:00:00Z,0.47497011,0.49048523,0.45988096,0.46423075,11130915.77,0.47473166,0.49190113,0.46211629,0.46446298,1322611.00,1322610,61354,6679358,3067591
